Year,Genre,Sentence
1980,Cowboy/Western Tales,"Two men sit on a rock halfway up the slope of a desert mountain. Sundown: The air is still, caught in the pause between the heat of the day, the cool of the evening. Doves call in twilight, testing the tentative peace. Downslope from the men a rattlesnake slides from its dark den, scales hissing over stone; the yellow eyes glow with hungerdeath in its glance."
1906,Cowboy/Western Tales,The ease and apparent willingness with which some men revert to an aimless life can best be accounted for by the savage or barbarian instincts of our natures.
1906,Cowboy/Western Tales,"He was born in a chaparral thicket, south of the Nueces River in Texas. It was a warm night in April, with a waning moon hanging like a hunters horn high overhead, when the subject of this sketch drew his first breath. Ushered into a strange world in the fulfillment of natural laws, he lay trembling on a bed of young grass, listening to the low mooings of his mother as she stood over him in the joy and pride of the first born."
1964,Cowboy/Western Tales,"I am a white man and never forgot it, but I was brought up by the Cheyenne Indians from the age of ten."
1999,Cowboy/Western Tales,"My name is Jack Crabb, and in the middle of the last century I come [sic] West with my people in a covered wagon, at age ten went off with and was reared by Cheyenne Indians, given the name of Little Big Man, learned to speak their language, ride, hunt, steal ponies, and make war, and, in part of my mind, to think like them, and in my teen years was captured by the U.S. Cavalry and went on to have many adventures and personal acquaintanceship with notables of the day and place like General George A. Custer, James B. Wild Bill Hickok, Wyatt Earp, and many others, surviving Custers fight at the Little Bighorn River, which the Indians called the Greasy Grass."
1988,Cowboy/Western Tales,Lieutenant Dunbar wasnt really swallowed. But that was the first word that stuck in his mind.
2023,Cowboy/Western Tales,"We dont have a lot of murder in Lincoln County. The long stretches of open road provide us with more than our share of high-speed vehicular deaths, the images of which can haunt your dreams, but there just isnt a lot of killing other people on purpose. When we do encounter it, its never like this. This is something from hell."
1998,Cowboy/Western Tales,"Thinking about the circus coming to town led me to pull out this shoe box of faded photographs that I keep in the bottom of Old Man Fagerhalts desk. I have not looked at them for a long time, maybe a year or more."
1986,Cowboy/Western Tales,"The boy shot Wild Bills horse at dusk, while Bill was off in the bushes to relieve himself."
1870,Cowboy/Western Tales,"Just where the Sierra Nevada begins to subside in gentler undulations, and the rivers grow less rapid and yellow, on the side of a great red mountain, stands Smiths Pocket. Seen from the red road at sunset, in the red light and the red dust, its white houses look like the outcroppings of quartz on the mountain-side."
