author,title,year,opening_line
Dan Abrams and David Fisher,Lincoln’s Last Trial,2018,"Mister Robert Roberts Hitt, the well-known steno man, arrived in Springfield late on the sweltering afternoon of August 28, 1859. As he stepped down onto the platform of the new station, he paused briefly and nattily patted the beads of sweat from his forehead, then vainly attempted to tug the wrinkles out of his jacket."
Andy Adams,Cattle Brands: A Collection of Winter Camp-Fire Stories,1906,The ease and apparent willingness with which some men revert to an aimless life can best be accounted for by the savage or barbarian instincts of our natures.
Jane Addams,Twenty Years at Hull House,1910,"On the theory that our genuine impulses may be connected with our childish experiences, that one’s bent may be tracked back to that “No-Man’s Land” where character is formless but nevertheless settling into lines of future development, I begin this record with some impressions of my childhood."
Vassily Aksyonov,Generations of Winter,1994,"Just think—in 1925, the eighth year of the Revolution, a traffic jam in Moscow!"
Kate Albus,A Place to Hang the Moon,2021,"Funeral receptions can be tough spots to find enjoyment, but eleven-year-old Edmund Pearce was doing his best."
Isabel Allende,The Wind Knows My Name,2023,"Vienna, November 1938 A sense of misfortune hung in the air. From the early morning hours, a menacing breeze had swept through the streets, whistling between the buildings, forcing its way in through the cracks under doors and windows. “Just winter settling in,” Rudolph Adler murmured to himself in an attempt to lighten his mood. But he couldn’t blame the weather for the tightness in his chest, which he’d felt for several months now."
Stephen E. Ambrose,Crazy Horse and Custer,2014,This is the story of two men who died as they lived—violently.
Anne Applebaum,Iron Curtain,2012,"Among many other things, the year 1945 marked one of the most extraordinary population movements in European history."
Anne Applebaum,Red Famine,2017,"The warning signs were ample. By the early spring of 1932, the peasants of Ukraine were beginning to starve."
Jeffrey Archer,Kane &amp; Abel,1979,She only stopped screaming when she died. It was then that he started to scream.
Karen Armstrong,A History of God,1993,"In the beginning, human beings created a God who was the First Cause of all things and Ruler of heaven and earth."
Karen Armstrong,The Bible,2006,"Human beings are meaning-seeking creatures. Unless we find some pattern or significance in our lives, we fall very easily into despair."
Kate Atkinson,Behind the Scenes at the Museum,1995,"I exist! I am conceived to the chimes of midnight on the clock on the mantelpiece in the room across the hall. The clock once belonged to my great-grandmother (a woman called Alice) and its tired chime counts me into the world. I’m begun on the first stroke and finished on the last when my father rolls off my mother and is plunged into a dreamless sleep, thanks to the five pints of John Smith’s Best Bitter he has drunk in the Punch Bowl with his friends, Walter and Bernard Belling."
Paul Auster,Mr. Vertigo,1994,I was twelve years old the first time I walked on water.
Paul Auster,Burning Boy,2021,"Born on the Day of the Dead and dead five months before his twenty-ninth birthday, Stephen Crane lived five months and five days into the twentieth century, undone by tuberculosis before he had a chance to drive an automobile or see an airplane, to watch a film projected on a large screen or listen to a radio, a figure from the horse-and-buggy world who missed out on the future that was awaiting his peers, not just the construction of those miraculous machines and inventions but the horrors of the age as well, including the destruction of tens of millions of lives in two wars."
David Baldacci,Stranger in Time,2025,"It was well past the midway point of 1944 when Charlie Matters clambered over the piled-up debris that littered much of London, while doing his best to fade into the lingering edges of the night-time."
Amelia E. Barr,The Maid of Maiden Lane: A Love Story,1900,"Never, in all its history, was the proud and opulent city of New York more glad and gay than in the bright spring days of Seventeen-Hundred-and-Ninety-One. It had put out of sight every trace of British rule and occupancy, all its homes had been restored and re-furnished, and its sacred places re-consecrated and adorned."
John Barth,The Sot-Weed Factor,1960,"In the last years of the Seventeenth Century there was to be found among the fops and fools of the London coffee-houses one rangy, gangling flitch called Ebenezer Cooke, more ambitious than talented, and yet more talented than prudent, who, like his friends-in-folly, all of whom were supposed to be educating at Oxford or Cambridge, had found the sound of Mother English more fun to game with than her sense to labor over, and so rather than applying himself to the pains of scholarship, had learned the knack of versifying, and ground out quires of couplets after the fashion of the day, afroth with Joves and Jupiters, aclang with jarring rhymes, and string-taut with similes stretched to the snapping-point."
Bruce Barton,The Man Nobody Knows,1952,"It was very late in the afternoon. If you would like to learn the measure of a man that is the time of day to watch him. We are all half an inch taller in the morning than at night; it is fairly easy to take a large view of things when the mind is rested and the nerves are calm. But the day is a steady drain of small annoyances, and the difference in the size of men becomes hourly more apparent. The little man loses his temper; the big man takes a firmer hold. It was very late in the afternoon in Galilee."
Catherine Belling,A Condition of Doubt,2012,"Hypochondriacs have two significant beliefs; that their bodies contain something that will kill them, and that, if they could only read their bodies closely enough, they should be able to find that lurking threat before it is too late."
Ruth Ben-Ghiat,Strongmen,2020,"On November 4, 2008, when many world leaders waited to hear the results of the American presidential election, Italian prime minister Silvio Berlusconi was in his Roman residence preparing to have sex."
Marie Benedict,The Other Einstein,2016,"October 20, 1896 Zürich, Switzerland I smoothed the wrinkles on my freshly pressed white blouse, flattened the bow encircling my collar, and tucked back a stray hair into my tightly wound chignon. The humid walk through the foggy Zürich streets to the Swiss Federal Polytechnic campus played with my careful grooming. The stubborn refusal of my heavy dark hair to stay fixed in place frustrated me. I wanted every detail of the day to be perfect."
Marie Benedict and Victoria Christopher Murray,The First Ladies,2023,"New York, New York October 14, 1927 Nearly fifty blocks whir past my cab window as I ride through the upper reaches of Manhattan from the Hotel Olga in Harlem. Traveling toward the Upper East Side, I feel as though, somewhere, I’ve crossed an invisible line. The shades of complexions fade from colored to white."
Peter Bernhardt,The Rose’s Kiss,1999,Fresh flowers accompany us through some of the most emotional moments of our lives.
Michael R. Beschloss,Presidents of War,2018,"And so it had come to this. Horrified as he stood on a height above the Potomac, James Madison, the fourth President of the United States—and now, some wondered, the last?—watched his beloved Washington City as it seemed to vanish into a crimson-orange swirl of fire."
Cyril Bibby,T. H. Huxley,1959,"On the 4th of May 1825, when Thomas Henry Huxley was born in the sleepy old village of Ealing, English society still had its roots deep in the eighteenth century. By the 29th June 1895, when he died at the newly developing seaside resort of Eastbourne, it was already feeling its way into the twentieth."
Ambrose Bierce,The San Francisco Examiner,1891,"A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below. The man’s hands were behind his back, the wrists bound with a cord. A rope closely encircled his neck."
Ned Blackhawk,The Rediscovery of America,2023,How can a nation founded on the homelands of dispossessed Indigenous peoples be the world’s most exemplary democracy?
Michael Blake,Dances with Wolves,1988,Lieutenant Dunbar wasn’t really swallowed. But that was the first word that stuck in his mind.
Cat Bohannon,Eve,2023,"Elizabeth Shaw has a problem. The director Ridley Scott has impregnated her with a large, vicious alien squid. Aboard the spaceship Prometheus, she has to find a way to abort her uninvited guest without bleeding to death. Shambling to a futuristic surgery pod, she asks the computer for a C-section. “Error,” it says, “this medpod is calibrated for male patients only.” “Shit,” said a woman behind me, “who does that?”"
Phyllis Bottome,A Servant of Reality,1919,"Anthony Arden closed his eyes; he was trying to let the unutterable misery of two years slip from him. It was over; it was all over, as over as an extracted tooth, but he could not yet feel relief or exultation."
James Bradley,Flags of Our Fathers,,"In the spring of 1998, six boys called to me from half a century ago on a distant mountain and I went there."
Joan Brady,Theory of War,1992,How stupid the young are.
Richard Brautigan,A Confederate General from Big Sur,1965,When I first heard about Big Sur I didn’t know that it was a member of the Confederate States of America.
Rutger Bregman,Utopia for Realists,2016,Let’s start with a little history lesson: In the past everything was worse.
Rutger Bregman,Humankind,2019,"This is a book about a radical idea. An idea that’s long been known to make rulers nervous. An idea denied by religions and ideologies, ignored by the news media and erased from the annals of world history. At the same time, it’s an idea that’s legitimized by virtually every branch of science. One that’s corroborated by evolution and confirmed by everyday life. An ideal so intrinsic to human nature that it goes unnoticed and gets overlooked. If only we had the courage to take it more seriously, it’s an idea that might just start a revolution. Turn society on its head. Because once you grasp what it really means, it’s nothing less than a mind-bending drug that ensures you’ll never look at the world the same again. So what is this radical idea? That most people, deep down, are pretty decent."
Ian Bremmer,The Power of Crisis,2022,"Away from the cameras and warmed by the fire, Ronald Reagan opened his first private conversation with Mikhail Gorbachev with a startling question: “What would you do if the United States were suddenly attacked by someone from outer space? Would you help us?”"
Anne Brontë,Agnes Grey,1847,"All true histories contain instruction; though, in some, the treasure may be hard to find, and when found, so trivial in quantity that the dry, shrivelled kernel scarcely compensates for the trouble of cracking the nut."
Charlotte Brontë,Jane Eyre,1847,There was no possibility of taking a walk that day.
Dan Brook,The Green Shoe Sanctuary,,"They went by Alberto and Maria when they moved to Italy. Albert Einstein and Marie Curie decided to spend their retirement years together, living in neighboring flats in Pisa."
Geraldine Brooks,Year of Wonders,2001,I used to love this season.
Susan Brownmiller,In Our Time,1999,"I was not there at the beginning. Few people were. And although I can speak with confidence of a beginning, of certain documented rebellions sparked by a handful of visionaries with stubborn courage, there were antecedents to those rebellions, and antecedents to the antecedents."
Bill Bryson,The Mother Tongue,1990,"More than 300 million people in the world speak English and the rest, it sometimes seems, try to. It would be charitable to say the results are sometimes mixed."
Bill Bryson,A Short History of Nearly Everything,2003,"Welcome. And congratulations. I am delighted you could make it. Getting here wasn’t easy, I know. In fact, I suspect it was a little tougher than you think."
Christopher Buckley,The Relic Master,2015,"Dismas might have purchased the finger bone of the Apostle Thomas, but there was something not quite right about the man offering it for sale."
Vincent Bugliosi,Helter Skelter,,"Saturday, August 9, 1969 It was so quiet, one of the killers would later say, you could almost hear the sound of ice rattling in cocktail shakers in the homes way down the canyon."
Edward George Bulwer-Lytton,Paul Clifford,1830,It was a dark and stormy night.
Stephanie Burgis,"Kat, Incorrigible",,"I was twelve years of age when I chopped off my hair, dressed as a boy, and set off to save my family from impending ruin. I made it almost to the end of my front garden."
Stephanie Burgis,Scales and Sensibility,2021,It was a truth universally acknowledged that any young lady without a dragon was doomed to social failure.
Michael Burlingame,Lincoln and the Civil War,2011,"If the legendary oddsmaker Jimmy the Greek had been alive when the Civil War began, he would probably have given the South a better-than-even chance of winning."
Michael Burlingame,An American Marriage,2021,Abraham Lincoln was apparently one of those men who regard “connubial bliss” as an oxymoron.
A. S. Byatt,The New Yorker,,"There were once two little girls who saw, or believed they saw, a thing in a forest."
Thomas Cahill,How the Irish Saved Civilization,1995,The word Irish is seldom coupled with the word civilization.
Thomas Cahill,The Gifts of the Jews,1998,"The Jews started it all—and by “it” I mean so many of the things we care about, the underlying values that make us all, Jew and gentile, believer and atheist, tick."
Joy Callaway,The Grand Design,2022,I’d been lured to the dining room as prey.
Colleen Cambridge (aka Colleen Gleason),Mastering the Art of French Murder,2023,Paris December 1949 Julia Child had a mayonnaise problem.
Isabel Cañas,The Hacienda,2022,"On the morning of the best day of her life, and the worst, Aracely Muñoz flew to Mexico City."
Robert A. Caro,Master of the Senate,2002,"The room on the first floor of the Barbour County Courthouse in the little town of Eufaula, Alabama, was normally the County Clerk’s Office, but after it had closed for the day on August 2, 1957, it was being used by the county’s Board of Registrars, the body that registered citizens so they could vote in elections—not that the Board was going to register any of the three persons who were applying that day, for the skin of these applicants was black."
Caleb Carr,The Alienist,1994,"January 8th, 1919 Theodore is in the ground."
Caleb Carr,The Angel of Darkness,1997,"There’s likely some polished way of starting a story like this, a clever bit of gaming that’d sucker people in surer than the best banco feeler in town. But the truth is that I haven’t got the quick tongue or the slick wit for that kind of game."
Joyce Cary,Herself Surprised,1941,"The judge, when he sent me to prison, said that I had behaved like a woman without any moral sense."
Cosstanza Casati,Clytemnestra,2023,"Clytemnestra looks down at the steep ravine but can see no traces of dead bodies. She searches for cracked skulls, broken bones, corpses eaten by wild dogs and pecked by vultures, but nothing. There are only a few brave flowers growing between the cracks, their petals white against the darkness of the ravine. She wonders how they manage to grow in such a place of death."
Liz Cheney,Oath and Honor,2023,This is the story of the moment when American democracy began to unravel.
Ron Chernow,The Warburgs,1993,The German Jews were a people shipwrecked by history.
Ron Chernow,Washington,2010,"In March 1793 Gilbert Stuart crossed the North Atlantic for the express purpose of painting President George Washington, the supreme prize of the age for any ambitious portrait artist."
Ron Chernow,Grant,2017,"Even as other Civil War generals rushed to publish their memoirs, flaunting their conquests and cashing in on their celebrity, Ulysses S. Grant refused to trumpet his accomplishments in print."
Rupert Christiansen,Diaghilev’s Empire,2022,This book has been written by someone in the grip of an addiction.
Arthur C. Clarke,2001,1968,"Behind every man now alive stand thirty ghosts, for that is the ratio by which the dead outnumber the living. Since the dawn of time, roughly a hundred billion human beings have walked the planet Earth."
James Clavell,Shōgun,1975,"The gale tore at him and he felt its bite deep within and he knew that if they did not make landfall in three days they would all be dead. Too many deaths on this voyage, he thought, I’m Pilot-Major of a dead fleet."
Jacqueline Cochran,The Stars at Noon,1954,"I am a refugee from Sawdust Road, which is located in the South close by Tobacco Road of theater and movie fame."
Sara Collins,The Confessions of Frannie Langton,2019,"My trial starts the way my life did: a squall of elbows and shoving and spit. From the prisoners’ hold they take me through the gallery, down the stairs and past the table crawling with barristers and clerks. Around me a river of faces in flood, their mutters rising, blending with the lawyers’ whispers. A noise that hums with all the spite of bees in a bush. Heads turn as I enter. Every eye a skewer."
Stephen Crane,The Red Badge of Courage,1895,"The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting."
